year,dominant,population
1610,False,0.0
1610,True,100.0
1620,False,0.8688097306689835
1620,True,99.13119026933101
1630,False,1.2914334911752046
1630,True,98.7085665088248
1640,False,2.2414958323946834
1640,True,97.75850416760531
1650,False,3.1766200762388817
1650,True,96.82337992376112
1660,False,3.8903248154760317
1660,True,96.10967518452397
1670,False,4.05145843569929
1670,True,95.94854156430071
1680,False,4.601107539585629
1680,True,95.39889246041437
1690,False,7.952103892152948
1690,True,92.04789610784705
1700,False,11.087417493064635
1700,True,88.91258250693537
1710,False,13.525629237498908
1710,True,86.4743707625011
1720,False,14.766455377157138
1720,True,85.23354462284286
1730,False,14.460516804486492
1730,True,85.53948319551351
1740,False,16.566931290258104
1740,True,83.43306870974189
1750,False,20.193720318425637
1750,True,79.80627968157437
1760,False,20.444332888854028
1760,True,79.55566711114598
1770,False,21.406225850482013
1770,True,78.59377414951798
1780,False,20.695814116759323
1780,True,79.30418588324068
1790,False,19.27123338153636
1790,True,80.72876661846364
1800,False,18.87614597239927
1800,True,81.12385402760073
1810,False,19.030810036794804
1810,True,80.9691899632052
1820,False,18.381124024778664
1820,True,81.61887597522133
1830,False,18.106647677552903
1830,True,81.8933523224471
1840,False,16.84105111111515
1840,True,83.15894888888485
1850,False,16.113004266754142
1850,True,83.88699573324585
1860,False,14.797571048157907
1860,True,85.2024289518421
1870,False,13.502224809621213
1870,True,86.49777519037879
1880,False,14.13741165116742
1880,True,85.86258834883257
1890,False,13.084132670272421
1890,True,86.91586732972758
1900,False,12.665164958285578
1900,True,87.33483504171443
1910,False,11.898536233486896
1910,True,88.1014637665131
1920,False,11.379650567782539
1920,True,88.62034943221747
1930,False,11.36575014610939
1930,True,88.63424985389061
1940,False,11.576107593404034
1940,True,88.42389240659597
1950,False,12.334758473026193
1950,True,87.6652415269738
1960,False,14.208986175547068
1960,True,85.79101382445293
1970,False,16.033423350309533
1970,True,83.96657664969047
1980,False,21.887570339871523
1980,True,78.11242966012847
1990,False,26.332482331142455
1990,True,73.66751766885754
2000,False,33.23583318522505
2000,True,66.76416681477495
2010,False,37.76757533532111
2010,True,62.23242466467889
